smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
COc1cc(O)c(/C=C\C(=O)O)cc1[C@@H](O)CC(C)C,280.32,2.578,3,4,True,infection
CCCCCCCCOS(N)(=O)=O,209.31,1.567,1,3,True,infection
CCCCCCCCCCOS(N)(=O)=O,237.36,2.347,1,3,True,infection
NS(=O)(=O)OCCCCCCCCOS(N)(=O)=O,304.39,-0.233,2,6,True,infection
NS(=O)(=O)OCCCCCCCCCCOS(N)(=O)=O,332.44,0.547,2,6,True,infection
COc1cc2oc(=O)ccc2cc1[C@@H](O)CC(C)C,262.31,2.881,1,4,True,infection
COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,250.3,0.454,2,3,True,infection
O=c1ccc2ccccc2o1,146.14,1.793,0,2,True,infection
COc1ccc2ccc(=O)oc2c1,176.17,1.802,0,3,True,infection
CCOc1ccc2ccc(=O)oc2c1,190.2,2.192,0,3,True,infection
CCCOc1ccc2ccc(=O)oc2c1,204.22,2.582,0,3,True,infection
CCCCOc1ccc2ccc(=O)oc2c1,218.25,2.972,0,3,True,infection
O=c1ccc2ccc(OCc3ccccc3)cc2o1,252.27,3.372,0,3,True,infection
O=c1ccc2ccc(CCc3ccccc3)cc2o1,250.3,3.578,0,2,True,infection
COc1ccc2c(C(=O)O)cc(=O)oc2c1,220.18,1.5,1,4,True,infection
O=C(O)c1cc2ccccc2oc1=O,190.15,1.491,1,3,True,infection
Cc1ccc2oc(=O)c(C(=O)O)cc2c1,204.18,1.8,1,3,True,infection
COc1ccc2oc(=O)c(C(=O)O)cc2c1,220.18,1.5,1,4,True,infection
O=C(O)c1cc2cc(CO)ccc2oc1=O,220.18,0.983,2,4,True,infection
COc1cccc2cc(C(=O)O)c(=O)oc12,220.18,1.5,1,4,True,infection
O=C(O)c1cc2ccccc2sc1=O,206.22,1.96,1,3,True,infection
COC(=O)c1cc2cc(CO)ccc2oc1=O,234.21,1.072,1,5,True,infection
CCOC(=O)c1cc2cc(CO)ccc2oc1=O,248.23,1.462,1,5,True,infection
CCOC(=O)c1cc2ccc(OC)cc2oc1=O,248.23,1.978,0,5,True,infection
O=c1ccc2cc(CO)ccc2o1,176.17,1.285,1,3,True,infection
NCc1ccc2oc(=O)ccc2c1,175.19,1.252,1,3,True,infection
O=c1ccc2cc(C[N+]34CN5CN(CN(C5)C3)C4)ccc2o1.[Cl-],334.81,-2.194,0,5,True,infection
COc1cc(C(=O)O)cc(OC)c1O,198.17,1.108,2,4,True,infection
O=C(O)c1cc(O)c(O)c(O)c1,170.12,0.502,4,4,True,infection
COc1cc(/C=C/C(=O)O)ccc1O,194.19,1.499,2,3,True,infection
O=C(O)/C=C/c1ccc(O)c(O)c1,180.16,1.196,3,3,True,infection
O=C(O)/C=C/c1ccc(O)cc1,164.16,1.49,2,2,True,infection
Oc1ccccc1,94.11,1.392,1,1,True,infection
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,1.988,5,7,True,infection
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,302.19,1.313,4,8,True,infection
COc1cc2c(cc1OC)C(C1CCCCC1)N(S(N)(=O)=O)CC2,354.47,2.387,1,4,True,infection
