smiles,molecular_weight,logp,hbd,hba,passes_lipinski,is_valid
CS(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,429.5640000000003,0.48680000000000123,2,6,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,435.46800000000013,1.9818999999999993,2,5,True,True
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](OC(=O)Nc2ccc(I)cc2)C1,457.31200000000007,2.958100000000001,2,4,True,True
COc1ccc(NC(=O)O[C@@H]2CCC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,393.5090000000002,2.6627,2,6,True,True
CS(=O)(=O)NCCS(=O)(=O)N[C@@H]1CC[C@@H]([C@H](N)C(=O)N2CCCC2)C1,396.5350000000003,-1.4265999999999954,3,6,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(Cl)c(Cl)c2)C1,418.3460000000001,3.570800000000002,2,5,True,True
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,395.48100000000017,0.7815000000000005,3,5,True,True
COc1ccc(NC(=O)O[C@H]2CCC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,375.4690000000002,2.7522,2,5,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](O)C1,212.29299999999998,0.09709999999999958,2,3,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,395.48100000000017,0.7815000000000005,3,5,True,True
CS(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,429.5640000000003,0.48680000000000123,2,6,True,True
N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,380.49200000000013,3.0797000000000008,3,3,True,True
N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,435.46800000000013,1.9818999999999993,2,5,True,True
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc(F)c2)C1,367.446,2.4031000000000002,2,5,True,True
N[C@@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2cccc3ccccc23)C1,399.5160000000001,3.417200000000001,2,5,True,True
CS(=O)(=O)c1ccc(S(=O)(=O)N[C@@H]2CC[C@@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,429.5640000000003,0.48680000000000123,2,6,True,True
COc1ccc(NC(=O)O[C@@H]2CCC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,375.4690000000002,2.7522,2,5,True,True
